timestamp,station_id,data_source,temperature_C,panel_temperature_C,solar_irradiance_Wm2,effective_efficiency,power_kW,energy_kWh_10min
2025-10-23 16:21:41.615660+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:21:43.329324+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:21:43.404744+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:23:45.090823+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:23:46.865218+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:23:46.941048+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:23:54.876976+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:23:56.598391+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:23:56.675806+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:04.869619+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:06.437689+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:06.511695+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:10.724041+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:12.087352+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:12.164385+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:20.747667+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:22.104238+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:22.179430+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:30.714488+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:31.981771+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:32.054965+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:35.725609+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:37.039636+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:37.115905+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:45.712924+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:47.011338+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:47.089021+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:24:50.728868+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:24:52.113145+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:24:52.202031+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:25:00.714771+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:25:02.034878+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:25:02.109779+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:25:23.758509+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:25:25.114666+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:25:25.191530+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:25:59.490667+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:25:59.871966+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:01.768422+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:01.848572+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:05.725464+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:07.014230+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:07.091796+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:15.722837+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:17.039718+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:17.133103+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:25.726698+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:27.007643+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:27.085961+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:34.872491+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:36.481773+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:36.570113+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:44.874832+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:46.870833+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:46.971396+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:49.880668+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:26:51.714654+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:26:51.802876+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:26:59.867472+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:27:01.949579+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:27:02.051038+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:27:04.877824+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:27:06.550344+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:27:06.623831+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:27:14.863028+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:27:16.615783+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:27:16.705943+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
2025-10-23 16:27:19.868960+00:00,BSPP,PREDICTION,33.11,33.11,0,0,0,0
2025-10-23 16:27:21.856622+00:00,KOSPP,PREDICTION,33.45,33.45,0,0,0,0
2025-10-23 16:27:21.956650+00:00,ZFSPP,PREDICTION,26.41,26.41,0,0,0,0
