wind_speed_mps,wind_dir_deg,air_temperature_C,air_pressure_hPa,humidity_percent,air_density_kgm3,wind_speed_hub_mps,turbine_power_kW,farm_power_kW,farm_energy_kWh_10min,farm_energy_MWh_10min,station_id,timestamp,data_source,local_timestamp,hour,day_of_week,time_of_day,wind_power_density,is_valid
1.15,193.0,23.92,1014.0,31.0,1.189,1.59,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:30:47.702372,API,2025-11-04 22:30:47.702372+02:00,22.0,Tuesday,Night,0.9041601874999999,True
1.19,271.0,23.8,1014.0,39.0,1.19,1.64,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:30:47.948780,API,2025-11-04 22:30:47.948780+02:00,22.0,Tuesday,Night,1.002669605,True
1.0,114.0,20.2,1016.0,24.0,1.207,1.38,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:30:48.280226,API,2025-11-04 22:30:48.280226+02:00,22.0,Tuesday,Night,0.6035,True
1.15,193.0,23.92,1014.0,31.0,1.189,1.59,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:30:48.286939,PREDICTION,2025-11-04 22:30:48.286939+02:00,22.0,Tuesday,Night,0.9041601874999999,True
0.9,271.0,23.8,1014.0,39.0,1.19,1.24,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:30:48.293939,PREDICTION,2025-11-04 22:30:48.293939+02:00,22.0,Tuesday,Night,0.43375500000000006,True
0.77,114.0,20.2,1016.0,24.0,1.207,1.06,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:30:48.297701,PREDICTION,2025-11-04 22:30:48.297701+02:00,22.0,Tuesday,Night,0.2755176655,True
1.19,193.0,23.92,1014.0,31.0,1.189,1.65,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:30:56.770942,PREDICTION,2025-11-04 22:30:56.770942+02:00,22.0,Tuesday,Night,1.0018270255,True
1.46,271.0,23.8,1014.0,39.0,1.19,2.01,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:30:56.886910,PREDICTION,2025-11-04 22:30:56.886910+02:00,22.0,Tuesday,Night,1.8517209199999998,True
1.11,114.0,20.2,1016.0,24.0,1.207,1.54,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:30:56.891886,PREDICTION,2025-11-04 22:30:56.891886+02:00,22.0,Tuesday,Night,0.8253653085000002,True
1.2,193.0,23.92,1014.0,31.0,1.189,1.66,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:31:06.770487,PREDICTION,2025-11-04 22:31:06.770487+02:00,22.0,Tuesday,Night,1.027296,True
1.21,271.0,23.8,1014.0,39.0,1.19,1.67,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:31:06.884975,PREDICTION,2025-11-04 22:31:06.884975+02:00,22.0,Tuesday,Night,1.054078795,True
0.89,114.0,20.2,1016.0,24.0,1.207,1.22,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:31:06.890713,PREDICTION,2025-11-04 22:31:06.890713+02:00,22.0,Tuesday,Night,0.4254487915000001,True
0.99,193.0,23.92,1014.0,31.0,1.189,1.36,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:31:16.239067,PREDICTION,2025-11-04 22:31:16.239067+02:00,22.0,Tuesday,Night,0.5768427555000001,True
1.36,271.0,23.8,1014.0,39.0,1.19,1.88,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:31:16.372910,PREDICTION,2025-11-04 22:31:16.372910+02:00,22.0,Tuesday,Night,1.49669632,True
0.93,114.0,20.2,1016.0,24.0,1.207,1.28,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:31:16.377711,PREDICTION,2025-11-04 22:31:16.377711+02:00,22.0,Tuesday,Night,0.4854294495000001,True
0.91,193.0,23.92,1014.0,31.0,1.189,1.26,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:31:21.246549,PREDICTION,2025-11-04 22:31:21.246549+02:00,22.0,Tuesday,Night,0.4479979595000001,True
1.2,271.0,23.8,1014.0,39.0,1.19,1.66,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:31:21.363357,PREDICTION,2025-11-04 22:31:21.363357+02:00,22.0,Tuesday,Night,1.0281599999999997,True
1.08,114.0,20.2,1016.0,24.0,1.207,1.48,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:31:21.368985,PREDICTION,2025-11-04 22:31:21.368985+02:00,22.0,Tuesday,Night,0.7602361920000001,True
0.91,193.0,23.92,1014.0,31.0,1.189,1.26,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:31:26.251944,PREDICTION,2025-11-04 22:31:26.251944+02:00,22.0,Tuesday,Night,0.4479979595000001,True
1.2,271.0,23.8,1014.0,39.0,1.19,1.66,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:31:26.369483,PREDICTION,2025-11-04 22:31:26.369483+02:00,22.0,Tuesday,Night,1.0281599999999997,True
1.08,114.0,20.2,1016.0,24.0,1.207,1.48,0.0,0.0,0.0,0.0,ZFWF,2025-11-04 20:31:26.373414,PREDICTION,2025-11-04 22:31:26.373414+02:00,22.0,Tuesday,Night,0.7602361920000001,True
1.11,193.0,23.92,1014.0,31.0,1.189,1.53,0.0,0.0,0.0,0.0,WBWF,2025-11-04 20:31:36.249404,PREDICTION,2025-11-04 22:31:36.249404+02:00,22.0,Tuesday,Night,0.8130566295000002,True
1.35,271.0,23.8,1014.0,39.0,1.19,1.87,0.0,0.0,0.0,0.0,GZWF,2025-11-04 20:31:36.374332,PREDICTION,2025-11-04 22:31:36.374332+02:00,22.0,Tuesday,Night,1.4639231250000002,True
