timestamp,station_id,data_source,wind_speed_mps,wind_dir_deg,air_temperature_C,air_pressure_hPa,humidity_percent,air_density_kgm3,wind_speed_hub_mps,turbine_power_kW,farm_power_kW,farm_energy_kWh_10min,farm_energy_MWh_10min
2025-11-04T20:30:47.702372,WBWF,API,1.15,193,23.92,1014,31,1.189,1.59,0,0,0.0,0.0
2025-11-04T20:30:47.948780,GZWF,API,1.19,271,23.8,1014,39,1.19,1.64,0,0,0.0,0.0
2025-11-04T20:30:48.280226,ZFWF,API,1,114,20.2,1016,24,1.207,1.38,0,0,0.0,0.0
2025-11-04T20:30:48.286939,WBWF,PREDICTION,1.15,193,23.92,1014,31,1.189,1.59,0,0,0.0,0.0
2025-11-04T20:30:48.293939,GZWF,PREDICTION,0.9,271,23.8,1014,39,1.19,1.24,0,0,0.0,0.0
2025-11-04T20:30:48.297701,ZFWF,PREDICTION,0.77,114,20.2,1016,24,1.207,1.06,0,0,0.0,0.0
2025-11-04T20:30:56.770942,WBWF,PREDICTION,1.19,193,23.92,1014,31,1.189,1.65,0,0,0.0,0.0
2025-11-04T20:30:56.886910,GZWF,PREDICTION,1.46,271,23.8,1014,39,1.19,2.01,0,0,0.0,0.0
2025-11-04T20:30:56.891886,ZFWF,PREDICTION,1.11,114,20.2,1016,24,1.207,1.54,0,0,0.0,0.0
2025-11-04T20:31:06.770487,WBWF,PREDICTION,1.2,193,23.92,1014,31,1.189,1.66,0,0,0.0,0.0
2025-11-04T20:31:06.884975,GZWF,PREDICTION,1.21,271,23.8,1014,39,1.19,1.67,0,0,0.0,0.0
2025-11-04T20:31:06.890713,ZFWF,PREDICTION,0.89,114,20.2,1016,24,1.207,1.22,0,0,0.0,0.0
2025-11-04T20:31:16.239067,WBWF,PREDICTION,0.99,193,23.92,1014,31,1.189,1.36,0,0,0.0,0.0
2025-11-04T20:31:16.372910,GZWF,PREDICTION,1.36,271,23.8,1014,39,1.19,1.88,0,0,0.0,0.0
2025-11-04T20:31:16.377711,ZFWF,PREDICTION,0.93,114,20.2,1016,24,1.207,1.28,0,0,0.0,0.0
2025-11-04T20:31:21.246549,WBWF,PREDICTION,0.91,193,23.92,1014,31,1.189,1.26,0,0,0.0,0.0
2025-11-04T20:31:21.363357,GZWF,PREDICTION,1.2,271,23.8,1014,39,1.19,1.66,0,0,0.0,0.0
2025-11-04T20:31:21.368985,ZFWF,PREDICTION,1.08,114,20.2,1016,24,1.207,1.48,0,0,0.0,0.0
2025-11-04T20:31:26.251944,WBWF,PREDICTION,0.91,193,23.92,1014,31,1.189,1.26,0,0,0.0,0.0
2025-11-04T20:31:26.369483,GZWF,PREDICTION,1.2,271,23.8,1014,39,1.19,1.66,0,0,0.0,0.0
2025-11-04T20:31:26.373414,ZFWF,PREDICTION,1.08,114,20.2,1016,24,1.207,1.48,0,0,0.0,0.0
2025-11-04T20:31:36.249404,WBWF,PREDICTION,1.11,193,23.92,1014,31,1.189,1.53,0,0,0.0,0.0
2025-11-04T20:31:36.374332,GZWF,PREDICTION,1.35,271,23.8,1014,39,1.19,1.87,0,0,0.0,0.0
2025-11-04T20:31:36.379455,ZFWF,PREDICTION,1.26,114,20.2,1016,24,1.207,1.74,0,0,0.0,0.0
2025-11-04T20:31:41.770081,WBWF,PREDICTION,0.99,193,23.92,1014,31,1.189,1.37,0,0,0.0,0.0
2025-11-04T20:31:41.889005,GZWF,PREDICTION,0.92,271,23.8,1014,39,1.19,1.27,0,0,0.0,0.0
2025-11-04T20:31:41.894403,ZFWF,PREDICTION,1.16,114,20.2,1016,24,1.207,1.6,0,0,0.0,0.0
2025-11-04T20:31:51.240861,WBWF,PREDICTION,1.35,193,23.92,1014,31,1.189,1.87,0,0,0.0,0.0
2025-11-04T20:31:51.362123,GZWF,PREDICTION,1.25,271,23.8,1014,39,1.19,1.72,0,0,0.0,0.0
2025-11-04T20:31:51.367468,ZFWF,PREDICTION,0.83,114,20.2,1016,24,1.207,1.15,0,0,0.0,0.0
2025-11-04T20:31:56.763943,WBWF,PREDICTION,1.35,193,23.92,1014,31,1.189,1.87,0,0,0.0,0.0
2025-11-04T20:31:56.879985,GZWF,PREDICTION,1.25,271,23.8,1014,39,1.19,1.72,0,0,0.0,0.0
2025-11-04T20:31:56.884090,ZFWF,PREDICTION,0.83,114,20.2,1016,24,1.207,1.15,0,0,0.0,0.0
2025-11-04T20:32:06.769694,WBWF,PREDICTION,1.01,193,23.92,1014,31,1.189,1.4,0,0,0.0,0.0
2025-11-04T20:32:06.889214,GZWF,PREDICTION,1.06,271,23.8,1014,39,1.19,1.47,0,0,0.0,0.0
2025-11-04T20:32:06.893147,ZFWF,PREDICTION,0.96,114,20.2,1016,24,1.207,1.33,0,0,0.0,0.0
2025-11-04T20:32:16.765462,WBWF,PREDICTION,0.92,193,23.92,1014,31,1.189,1.27,0,0,0.0,0.0
2025-11-04T20:32:16.885149,GZWF,PREDICTION,1.02,271,23.8,1014,39,1.19,1.4,0,0,0.0,0.0
2025-11-04T20:32:16.889267,ZFWF,PREDICTION,1.09,114,20.2,1016,24,1.207,1.51,0,0,0.0,0.0
2025-11-04T20:32:21.770866,WBWF,PREDICTION,1.26,193,23.92,1014,31,1.189,1.74,0,0,0.0,0.0
2025-11-04T20:32:21.892419,GZWF,PREDICTION,1.38,271,23.8,1014,39,1.19,1.91,0,0,0.0,0.0
2025-11-04T20:32:21.897832,ZFWF,PREDICTION,0.72,114,20.2,1016,24,1.207,1.0,0,0,0.0,0.0
2025-11-04T20:32:26.775545,WBWF,PREDICTION,1.26,193,23.92,1014,31,1.189,1.74,0,0,0.0,0.0
2025-11-04T20:32:26.891033,GZWF,PREDICTION,1.38,271,23.8,1014,39,1.19,1.91,0,0,0.0,0.0
2025-11-04T20:32:26.896316,ZFWF,PREDICTION,0.72,114,20.2,1016,24,1.207,1.0,0,0,0.0,0.0
2025-11-04T20:32:36.758289,WBWF,PREDICTION,0.98,193,23.92,1014,31,1.189,1.35,0,0,0.0,0.0
2025-11-04T20:32:36.875929,GZWF,PREDICTION,1.23,271,23.8,1014,39,1.19,1.69,0,0,0.0,0.0
2025-11-04T20:32:36.879979,ZFWF,PREDICTION,0.98,114,20.2,1016,24,1.207,1.35,0,0,0.0,0.0
2025-11-04T20:32:41.775651,WBWF,PREDICTION,1.41,193,23.92,1014,31,1.189,1.95,0,0,0.0,0.0
2025-11-04T20:32:41.894070,GZWF,PREDICTION,0.93,271,23.8,1014,39,1.19,1.28,0,0,0.0,0.0
2025-11-04T20:32:41.898519,ZFWF,PREDICTION,0.89,114,20.2,1016,24,1.207,1.23,0,0,0.0,0.0
2025-11-04T20:32:51.765851,WBWF,PREDICTION,1.19,193,23.92,1014,31,1.189,1.64,0,0,0.0,0.0
2025-11-04T20:32:51.884369,GZWF,PREDICTION,1.23,271,23.8,1014,39,1.19,1.69,0,0,0.0,0.0
2025-11-04T20:32:51.889817,ZFWF,PREDICTION,1.23,114,20.2,1016,24,1.207,1.7,0,0,0.0,0.0
2025-11-04T20:32:56.769042,WBWF,PREDICTION,1.19,193,23.92,1014,31,1.189,1.64,0,0,0.0,0.0
2025-11-04T20:32:56.890226,GZWF,PREDICTION,1.23,271,23.8,1014,39,1.19,1.69,0,0,0.0,0.0
2025-11-04T20:32:56.894575,ZFWF,PREDICTION,1.23,114,20.2,1016,24,1.207,1.7,0,0,0.0,0.0
2025-11-04T20:33:01.771909,WBWF,PREDICTION,0.85,193,23.92,1014,31,1.189,1.18,0,0,0.0,0.0
2025-11-04T20:33:01.900504,GZWF,PREDICTION,1.44,271,23.8,1014,39,1.19,1.98,0,0,0.0,0.0
2025-11-04T20:33:01.905262,ZFWF,PREDICTION,1.24,114,20.2,1016,24,1.207,1.72,0,0,0.0,0.0
2025-11-04T20:33:11.771928,WBWF,PREDICTION,1.42,193,23.92,1014,31,1.189,1.96,0,0,0.0,0.0
2025-11-04T20:33:11.896919,GZWF,PREDICTION,1.12,271,23.8,1014,39,1.19,1.54,0,0,0.0,0.0
2025-11-04T20:33:11.902007,ZFWF,PREDICTION,1.07,114,20.2,1016,24,1.207,1.47,0,0,0.0,0.0
2025-11-04T20:33:21.769658,WBWF,PREDICTION,1.39,193,23.92,1014,31,1.189,1.91,0,0,0.0,0.0
2025-11-04T20:33:21.910272,GZWF,PREDICTION,1.44,271,23.8,1014,39,1.19,1.99,0,0,0.0,0.0
2025-11-04T20:33:21.915448,ZFWF,PREDICTION,1.04,114,20.2,1016,24,1.207,1.44,0,0,0.0,0.0
2025-11-04T20:33:31.760708,WBWF,PREDICTION,0.9,193,23.92,1014,31,1.189,1.24,0,0,0.0,0.0
2025-11-04T20:33:31.885618,GZWF,PREDICTION,1.24,271,23.8,1014,39,1.19,1.71,0,0,0.0,0.0
2025-11-04T20:33:31.910676,ZFWF,PREDICTION,0.73,114,20.2,1016,24,1.207,1.01,0,0,0.0,0.0
2025-11-04T20:33:36.767338,WBWF,PREDICTION,0.9,193,23.92,1014,31,1.189,1.24,0,0,0.0,0.0
2025-11-04T20:33:36.882954,GZWF,PREDICTION,1.24,271,23.8,1014,39,1.19,1.71,0,0,0.0,0.0
2025-11-04T20:33:36.887475,ZFWF,PREDICTION,0.73,114,20.2,1016,24,1.207,1.01,0,0,0.0,0.0
2025-11-04T20:33:46.764388,WBWF,PREDICTION,0.86,193,23.92,1014,31,1.189,1.19,0,0,0.0,0.0
2025-11-04T20:33:46.884230,GZWF,PREDICTION,0.91,271,23.8,1014,39,1.19,1.26,0,0,0.0,0.0
2025-11-04T20:33:46.888727,ZFWF,PREDICTION,0.88,114,20.2,1016,24,1.207,1.22,0,0,0.0,0.0
2025-11-04T20:33:51.774328,WBWF,PREDICTION,1.18,193,23.92,1014,31,1.189,1.63,0,0,0.0,0.0
2025-11-04T20:33:51.889929,GZWF,PREDICTION,0.98,271,23.8,1014,39,1.19,1.35,0,0,0.0,0.0
2025-11-04T20:33:51.893437,ZFWF,PREDICTION,1.12,114,20.2,1016,24,1.207,1.55,0,0,0.0,0.0
2025-11-04T20:34:01.773291,WBWF,PREDICTION,0.93,193,23.92,1014,31,1.189,1.28,0,0,0.0,0.0
2025-11-04T20:34:01.892144,GZWF,PREDICTION,1.4,271,23.8,1014,39,1.19,1.93,0,0,0.0,0.0
2025-11-04T20:34:01.896525,ZFWF,PREDICTION,1.0,114,20.2,1016,24,1.207,1.38,0,0,0.0,0.0
2025-11-04T20:34:11.771826,WBWF,PREDICTION,1.06,193,23.92,1014,31,1.189,1.46,0,0,0.0,0.0
2025-11-04T20:34:11.894706,GZWF,PREDICTION,1.37,271,23.8,1014,39,1.19,1.89,0,0,0.0,0.0
2025-11-04T20:34:11.898758,ZFWF,PREDICTION,0.79,114,20.2,1016,24,1.207,1.1,0,0,0.0,0.0
2025-11-04T20:34:21.767205,WBWF,PREDICTION,1.35,193,23.92,1014,31,1.189,1.86,0,0,0.0,0.0
2025-11-04T20:34:21.885224,GZWF,PREDICTION,1.3,271,23.8,1014,39,1.19,1.8,0,0,0.0,0.0
2025-11-04T20:34:21.890204,ZFWF,PREDICTION,1.01,114,20.2,1016,24,1.207,1.39,0,0,0.0,0.0
2025-11-04T20:34:26.771985,WBWF,PREDICTION,1.35,193,23.92,1014,31,1.189,1.86,0,0,0.0,0.0
2025-11-04T20:34:26.916496,GZWF,PREDICTION,1.3,271,23.8,1014,39,1.19,1.8,0,0,0.0,0.0
2025-11-04T20:34:26.921570,ZFWF,PREDICTION,1.01,114,20.2,1016,24,1.207,1.39,0,0,0.0,0.0
2025-11-04T20:34:36.762316,WBWF,PREDICTION,1.16,193,23.92,1014,31,1.189,1.6,0,0,0.0,0.0
2025-11-04T20:34:36.879744,GZWF,PREDICTION,1.18,271,23.8,1014,39,1.19,1.64,0,0,0.0,0.0
2025-11-04T20:34:36.884762,ZFWF,PREDICTION,0.9,114,20.2,1016,24,1.207,1.25,0,0,0.0,0.0
2025-11-04T20:35:00.176477,WBWF,API,1.15,193,23.92,1014,31,1.189,1.59,0,0,0.0,0.0
2025-11-04T20:35:00.441172,GZWF,API,1.19,271,23.8,1014,39,1.19,1.64,0,0,0.0,0.0
2025-11-04T20:35:00.653573,ZFWF,API,1,114,20.2,1016,24,1.207,1.38,0,0,0.0,0.0
2025-11-04T20:35:00.662621,WBWF,PREDICTION,1.07,193,23.92,1014,31,1.189,1.47,0,0,0.0,0.0
2025-11-04T20:35:00.668822,GZWF,PREDICTION,1.27,271,23.8,1014,39,1.19,1.75,0,0,0.0,0.0
2025-11-04T20:35:00.675073,ZFWF,PREDICTION,1.1,114,20.2,1016,24,1.207,1.51,0,0,0.0,0.0
2025-11-04T20:35:07.870015,WBWF,PREDICTION,1.07,193,23.92,1014,31,1.189,1.47,0,0,0.0,0.0
2025-11-04T20:35:07.984321,GZWF,PREDICTION,1.27,271,23.8,1014,39,1.19,1.75,0,0,0.0,0.0
2025-11-04T20:35:07.989385,ZFWF,PREDICTION,1.1,114,20.2,1016,24,1.207,1.51,0,0,0.0,0.0
2025-11-04T20:35:17.867318,WBWF,PREDICTION,1.17,193,23.92,1014,31,1.189,1.62,0,0,0.0,0.0
2025-11-04T20:35:17.981454,GZWF,PREDICTION,1.15,271,23.8,1014,39,1.19,1.58,0,0,0.0,0.0
2025-11-04T20:35:17.985599,ZFWF,PREDICTION,1.25,114,20.2,1016,24,1.207,1.72,0,0,0.0,0.0
2025-11-04T20:35:22.877541,WBWF,PREDICTION,0.88,193,23.92,1014,31,1.189,1.22,0,0,0.0,0.0
2025-11-04T20:35:22.988760,GZWF,PREDICTION,1.34,271,23.8,1014,39,1.19,1.86,0,0,0.0,0.0
2025-11-04T20:35:22.993484,ZFWF,PREDICTION,0.9,114,20.2,1016,24,1.207,1.25,0,0,0.0,0.0
